86	，
96	。
0	口
0	：
0	；
0	○
53	的
901956	的
1	一
01138	是
16	不
99426	我
1971	有
19341	在
8	人
18	大
53	了
268	以
03	中
6068	這
1264133	到
69588	為
11778	資
87878	資
80440	個
10821	要
103	可
810801	會
8532	他
4888	來
0410126	國
8738	你
311	上
014146	時
2154	好
9141	生
9198984	學
610386	就
831	們
61898	交
532	也
74	用
68	之
26711212	能
9114	年
210	如
33	出
6198	文
381816	對
389558	沒
19733	而
60802	說
41532	地
9197	看
947	看
19526	成
9401138	提
593	所
5453	那
51953	那
6586	於
310	問
7676	多
980116	得
77068	過
4	十
136	下
67198	家
604171	請
97	自
118	天
982698	後
4190153	都
54	子
69484826	麼
911918	與
38	小
48766	想
89131	作
65	方
0810968	還
18012	電
5851558	發
11	工
0418	因
98113	行
9480	和
48262626	機
2812211	經
66	心
826	公
6024	訊
60219	訊
910159	動
61310	站
87	分
4126	去
7618688	然
08	只
817133	前
14172	現
91180	知
3818148	業
260	台
958	及
58	及
985128	很
111	三
860	信
384126	法
01	日
61014	章
10513	事
8103	何
710	同
1128	長
819768	道
4118	其
481	本
914188	無
3114	開
1410141	理
8011	但
387004	當
0588	嗎
3112	此
11	二
190431	面
47118	真
4728	真
51212	民
0113158	最
6141	主
614893	新
441901	著
44196	著
7636	外
0148	果
297646	將
299946	將
67138	定
610166	意
3101	間
664171	情
9489101	種
0188310	點
41901	者
419016	者
0113878	題
044	由
59	力
419598	教
384171	清
61070	高
94864	科
6725478	實
6704478	實
6701378	實
67251678	實
48814158	樣
311211	些
05132	吧
41928	表
669141	性
861	位
77710481	體
77710181	體
86168	進
6173	市
61053	部
84	什
9101	重
609946	謝
94146	等
760	名
78	內
131	正
4138512	起
4144	華
81098	使
60140	話
60940	話
512	已
1741	再
13198	政
4119526	城
9976698	愛
1212	比
58	又
698866	應
14	車
8141	全
590	加
10126	或
814118	美
81381	並
870398	像
87098	像
810	合
31262621	關
21	女
487	相
812	化
151	五
94	手
9413	打
38703	常
1178	次
878	次
21532	她
08	四
186	太
7	目
0171	明
4101199	場
512	己
078	員
2980	路
1738	兩
988838	從
219588	鳳
84098	做
51458	建
05912	呢
6380141	裡
9198982	覺
8126	代
6061298	該
694158	度
980	各
61	立
290141	凰
3860285	灣
3828605	灣
1958	友
38140	活
38940	活
49	才
928	系
63641	社
9149599	物
41912	老
604	計
699141	產
71	月
389	少
95159	第
11126	式
040	回
10198	更
19106626	感
19102666	感
14146	球
60258	設
945132	把
6385358	被
514	研
12641	至
617111	龍
38	水
948041	程
7833	則
608174	論
000	品
09533	別
28810	給
28162	統
2861262	統
131966	聽
131166	聽
411871	期
912	先
32982	處
12000	區
4861898	校
94833	利
4801	東
8	入
26	風
1901	百
873866	您
93113	師
09461	啦
914416	特
72	見
1138	示
77914	解
7714	解
567468	通
99758	受
1990138	原
594128	展
96731	管
99	身
3112	北
814101	錯
536712	院
6101	音
618	六
160	否
053103	啊
94126	找
970	向
287812	網
9012648	樂
2690148	樂
6061028	讓
8	八
92	九
29	九
8048	保
5125168	選
67892	究
67829	究
1461898	較
4002	觀
514101	書
51401	書
565359	務
6712	它
912516	每
66518	快
1081178	頭
607666	認
4008	歡
010398	數
913166	怎
815	今
865	今
8141	任
8941	任
6127641	望
6127141	望
28410	結
60282898	變
28602898	變
26261926	幾
2626126	幾
910	告
946121	接
9288	氣
351958	版
359958	版
28711	組
941201	指
41915	考
984863	術
410810	喜
41040	喜
510	司
4018861	難
3	山
3812	光
0878	買
81	金
12	七
60914	許
0161099	影
85159	弟
4190	若
974	算
1671	育
612671	育
60512	記
108	西
184	平
67112	完
412	世
0152	號
4181458	報
669	必
60	言
61870	商
148	未
14112	玩
0110141	量
6754	字
3131	非
5141041	畫
0459	男
04833	界
2890466	總
60861	誰
614594	辦
5151128	張
387088	黨
67811	空
75132	色
711	且
4886	求
51298	改
8807	卻
91068	造
019141	星
1468	連
0810	哈
71468	運
6598	放
1958	反
9958	反
4711	直
472	直
81976	導
141646	轉
112	元
1499	形
1646	專
6721	安
38912516	海
534801	陳
835118	候
6011126	試
418	共
81646	傳
981973	希
13158	取
60814126	議
636013	神
4809831	整
63672	視
1872	規
141	王
000126	戰
9368	近
8818678	類
607410	調
71758	服
8141926	義
40176	萬
411841	基
00014	單
17612	死
181933	需
25128	跟
810198	便
4138	走
54618	孩
4848	林
567	即
41	士
410741	臺
5152606	強
5153378	費
538198	隊
1159	功
4159231	聲
4181468	達
67919588	寫
26262699	參
912	兒
911733	制
914733	制
38518	決
67880	容
4838704	檔
7118	具
35	片
672148	案
6046	討
718	央
381692	流
38612692	流
21738	妳
69846	府
917108	興
42773	帶
986141	往
901	白
538148	除
810878	價
484061	權
0103	呵
5950	局
0466	思
8914	件
023	叫
86141	住
4161012	境
4812	花
1410828	環
38260	治
887	份
31	門
944146	持
386718	演
939378	質
8864	料
601510	語
94258	投
041646	團
05453	哪
051953	哪
059141	喔
9918	笑
99404	貓
47814	南
94458	技
99089506	獨
8418	供
28958	級
2858	級
458	支
5378138	際
80801	曾
94861	推
4810838	標
70398	象
7098	象
8107	命
9	竹
614872	親
02	兄
0441028	園
53103	阿
6712641	室
31136	卡
059	另
588	馬
48980	格
94	千
28956	約
911914	舉
976258	般
2890138	線
384178	滿
21260	始
2398	收
7171	朋
111978	項
1312621	聯
12911801	醫
81566	念
86566	念
888870	營
41048	黃
410448	黃
6041741	講
8112626	錢
95512	包
839899	修
600148	課
9118	失
21588	媽
019599	易
7122998	腦
7122976	腦
712296	腦
588818	驗
481958	板
489958	板
991978	須
0912	吃
08888	眾
71888	眾
0898	眾
143341	型
947718	換
812138	錄
99513	爭
81094	拿
410968	遠
71159	助
48068	速
9432198	據
414143	幫
48011	查
006861	雖
57861	確
3139	步
5858901	習
29416128	裝
26711266	態
387848	深
84194	備
103108	歌
817633	例
6178	病
00180	器
